SRR121484_0.bam	SRR121484_10.bam	SRR121484_11.bam	SRR121484_12.bam	SRR121484_13.bam	SRR121484_14.bam	SRR121484_15.bam	SRR121484_1.bam	SRR121484_2.bam	SRR121484_3.bam	SRR121484_4.bam	SRR121484_5.bam	SRR121484_6.bam	SRR121484_7.bam	SRR121484_8.bam	SRR121484_9.bam
0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	0
0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
114	111	43	144	203	122	148	139	105	98	333	275	312	274	59	45
0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
24	2	1	8	22	22	6	9	0	4	19	14	14	7	1	2
2	0	2	1	0	2	1	3	2	0	2	0	0	0	2	0
0	0	2	0	0	0	0	0	0	0	2	0	0	0	2	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	2	0	0	0	0	2	0	2	0	0	0	0
6	25	10	2	20	12	25	11	16	11	42	38	27	42	4	15
0	0	0	0	0	0	2	2	0	0	0	8	0	2	6	6
20	30	12	42	25	30	28	16	29	28	21	41	39	37	33	17
0	2	0	0	3	0	0	0	0	0	0	2	0	0	2	2
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	6	0	0	0	0	0	4	0	0	0	0
3393	3433	1857	5099	2593	2704	3598	2331	3000	2450	8314	18886	9573	22793	7041	3635
447	556	757	468	286	450	397	443	738	485	823	1513	1108	905	373	478
0	0	0	0	0	0	0	0	0	0	0	7	4	4	0	0
19	23	10	42	33	32	53	12	15	64	109	78	114	74	15	6
0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
445	472	470	362	395	436	460	468	693	562	719	882	615	636	309	386
0	0	0	0	1	4	0	0	0	0	1	0	1	0	0	0
4	0	0	2	0	4	0	0	0	0	0	4	4	6	0	0
0	6	4	4	6	5	4	4	0	7	24	4	20	27	2	0
0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0
3649	3231	4242	3536	2376	2984	3626	3385	4133	3688	4932	7627	7258	6747	3940	3783
80	47	60	50	67	63	54	70	47	61	93	158	136	125	44	45
0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0
