Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Calcium	87	8.941418293936279	1.9570039773761805E-15	ENSMUSG00000058952, ENSMUSG00000074483, ENSMUSG00000028222, ENSMUSG00000026043, ENSMUSG00000074486, ENSMUSG00000021194, ENSMUSG00000025279, ENSMUSG00000028785, ENSMUSG00000021991, ENSMUSG00000024743, ENSMUSG00000049723, ENSMUSG00000043613, ENSMUSG00000004730, ENSMUSG00000061601, ENSMUSG00000001506, ENSMUSG00000021313, ENSMUSG00000026407, ENSMUSG00000063142, ENSMUSG00000037892, ENSMUSG00000052819, ENSMUSG00000074489, ENSMUSG00000037016, ENSMUSG00000030865, ENSMUSG00000034145, ENSMUSG00000029161, ENSMUSG00000050711, ENSMUSG00000030102, ENSMUSG00000052613, ENSMUSG00000031144, ENSMUSG00000049252, ENSMUSG00000025582, ENSMUSG00000051331, ENSMUSG00000031142, ENSMUSG00000023000, ENSMUSG00000022991, ENSMUSG00000021186, ENSMUSG00000006800, ENSMUSG00000008307, ENSMUSG00000029544, ENSMUSG00000023886, ENSMUSG00000040373, ENSMUSG00000027849, ENSMUSG00000053519, ENSMUSG00000032839, ENSMUSG00000066189, ENSMUSG00000041460, ENSMUSG00000034098, ENSMUSG00000057914, ENSMUSG00000036510, ENSMUSG00000021708, ENSMUSG00000034774, ENSMUSG00000064080, ENSMUSG00000035864, ENSMUSG00000033765, ENSMUSG00000029410, ENSMUSG00000004110, ENSMUSG00000008153, ENSMUSG00000023473, ENSMUSG00000004113, ENSMUSG00000022425, ENSMUSG00000041771, ENSMUSG00000015001, ENSMUSG00000051747, ENSMUSG00000060371, ENSMUSG00000020604, ENSMUSG00000005649, ENSMUSG00000020848, ENSMUSG00000066392, ENSMUSG00000074505, ENSMUSG00000057378, ENSMUSG00000058740, ENSMUSG00000026452, ENSMUSG00000030592, ENSMUSG00000024112, ENSMUSG00000026697, ENSMUSG00000059991, ENSMUSG00000005338, ENSMUSG00000040152, ENSMUSG00000036095, ENSMUSG00000024998, ENSMUSG00000025329, ENSMUSG00000039167, ENSMUSG00000000402, ENSMUSG00000029608, ENSMUSG00000054423, ENSMUSG00000046093, ENSMUSG00000058626	932	827	22680	2.5600053972422168	6.974421040695233E-13	6.209039891857154E-14	5.1949560126713155E-14
GOTERM_CC_DIRECT	GO:0043025~neuronal cell body	70	7.194244604316546	2.757651529943174E-15	ENSMUSG00000028222, ENSMUSG00000019828, ENSMUSG00000020182, ENSMUSG00000028546, ENSMUSG00000061762, ENSMUSG00000040867, ENSMUSG00000024743, ENSMUSG00000057182, ENSMUSG00000026204, ENSMUSG00000061601, ENSMUSG00000021478, ENSMUSG00000003849, ENSMUSG00000027419, ENSMUSG00000063142, ENSMUSG00000026609, ENSMUSG00000020704, ENSMUSG00000028072, ENSMUSG00000030102, ENSMUSG00000050556, ENSMUSG00000032356, ENSMUSG00000027360, ENSMUSG00000028051, ENSMUSG00000048482, ENSMUSG00000052783, ENSMUSG00000051331, ENSMUSG00000031142, ENSMUSG00000023484, ENSMUSG00000026114, ENSMUSG00000061576, ENSMUSG00000027400, ENSMUSG00000064329, ENSMUSG00000040896, ENSMUSG00000053519, ENSMUSG00000023328, ENSMUSG00000034891, ENSMUSG00000011751, ENSMUSG00000030683, ENSMUSG00000058975, ENSMUSG00000004031, ENSMUSG00000023033, ENSMUSG00000000794, ENSMUSG00000056073, ENSMUSG00000025892, ENSMUSG00000000632, ENSMUSG00000004630, ENSMUSG00000004113, ENSMUSG00000021730, ENSMUSG00000026904, ENSMUSG00000048978, ENSMUSG00000073418, ENSMUSG00000062591, ENSMUSG00000022548, ENSMUSG00000017740, ENSMUSG00000025658, ENSMUSG00000014351, ENSMUSG00000032303, ENSMUSG00000018634, ENSMUSG00000028351, ENSMUSG00000037428, ENSMUSG00000033981, ENSMUSG00000041607, ENSMUSG00000029121, ENSMUSG00000003476, ENSMUSG00000019772, ENSMUSG00000023945, ENSMUSG00000022935, ENSMUSG00000035681, ENSMUSG00000022619, ENSMUSG00000016349, ENSMUSG00000032338	889	534	19662	2.899230292842608	1.301736496372996E-12	2.586677135086697E-13	2.316427285152266E-13
GOTERM_CC_DIRECT	GO:0030425~dendrite	66	6.783144912641316	5.181240000124778E-15	ENSMUSG00000004892, ENSMUSG00000074483, ENSMUSG00000028222, ENSMUSG00000019828, ENSMUSG00000074486, ENSMUSG00000028546, ENSMUSG00000040867, ENSMUSG00000024743, ENSMUSG00000043613, ENSMUSG00000061601, ENSMUSG00000021478, ENSMUSG00000000617, ENSMUSG00000027419, ENSMUSG00000063142, ENSMUSG00000037771, ENSMUSG00000074489, ENSMUSG00000028072, ENSMUSG00000030102, ENSMUSG00000071658, ENSMUSG00000037217, ENSMUSG00000050556, ENSMUSG00000027360, ENSMUSG00000028051, ENSMUSG00000048482, ENSMUSG00000052783, ENSMUSG00000051331, ENSMUSG00000029581, ENSMUSG00000026114, ENSMUSG00000000223, ENSMUSG00000027400, ENSMUSG00000022594, ENSMUSG00000040896, ENSMUSG00000042671, ENSMUSG00000053519, ENSMUSG00000023328, ENSMUSG00000038257, ENSMUSG00000031772, ENSMUSG00000058975, ENSMUSG00000004031, ENSMUSG00000027270, ENSMUSG00000023033, ENSMUSG00000056073, ENSMUSG00000025892, ENSMUSG00000027674, ENSMUSG00000004113, ENSMUSG00000021730, ENSMUSG00000073418, ENSMUSG00000022548, ENSMUSG00000023439, ENSMUSG00000025739, ENSMUSG00000032303, ENSMUSG00000074505, ENSMUSG00000018634, ENSMUSG00000028351, ENSMUSG00000057897, ENSMUSG00000033981, ENSMUSG00000034958, ENSMUSG00000029121, ENSMUSG00000024112, ENSMUSG00000022212, ENSMUSG00000041642, ENSMUSG00000003476, ENSMUSG00000023945, ENSMUSG00000022935, ENSMUSG00000035681, ENSMUSG00000032259	889	490	19662	2.9790225201441656	2.4472646131812326E-12	4.0500026000975347E-13	3.6268680000873443E-13
INTERPRO	IPR027359:Voltage-dependent potassium channel, four helix bundle domain	19	1.9527235354573484	3.703114815761543E-12	ENSMUSG00000058975, ENSMUSG00000004110, ENSMUSG00000051331, ENSMUSG00000031142, ENSMUSG00000023033, ENSMUSG00000024112, ENSMUSG00000064329, ENSMUSG00000004113, ENSMUSG00000000197, ENSMUSG00000057182, ENSMUSG00000040896, ENSMUSG00000045534, ENSMUSG00000026407, ENSMUSG00000045246, ENSMUSG00000038077, ENSMUSG00000035681, ENSMUSG00000075318, ENSMUSG00000050556, ENSMUSG00000032313	873	54	20594	8.300156972551015	5.102939182322075E-9	2.551446108059703E-9	2.486641598783876E-9
GOTERM_CC_DIRECT	GO:0030424~axon	49	5.0359712230215825	4.649372822976245E-11	ENSMUSG00000028222, ENSMUSG00000050272, ENSMUSG00000019828, ENSMUSG00000020182, ENSMUSG00000026442, ENSMUSG00000028785, ENSMUSG00000061762, ENSMUSG00000045318, ENSMUSG00000057182, ENSMUSG00000061601, ENSMUSG00000021478, ENSMUSG00000070880, ENSMUSG00000028072, ENSMUSG00000035513, ENSMUSG00000037217, ENSMUSG00000050556, ENSMUSG00000028051, ENSMUSG00000048482, ENSMUSG00000023484, ENSMUSG00000064329, ENSMUSG00000023328, ENSMUSG00000035864, ENSMUSG00000011751, ENSMUSG00000036832, ENSMUSG00000005089, ENSMUSG00000056073, ENSMUSG00000022346, ENSMUSG00000060534, ENSMUSG00000021730, ENSMUSG00000026787, ENSMUSG00000073418, ENSMUSG00000075318, ENSMUSG00000030310, ENSMUSG00000061878, ENSMUSG00000055471, ENSMUSG00000026452, ENSMUSG00000034958, ENSMUSG00000062444, ENSMUSG00000020396, ENSMUSG00000022212, ENSMUSG00000023267, ENSMUSG00000003476, ENSMUSG00000023945, ENSMUSG00000020436, ENSMUSG00000038077, ENSMUSG00000035681, ENSMUSG00000047261, ENSMUSG00000032338, ENSMUSG00000032259	889	370	19662	2.9290061715258564	2.1805544037079017E-8	2.7256948174698236E-9	2.4409207320625286E-9
GOTERM_CC_DIRECT	GO:0005887~integral component of plasma membrane	99	10.174717368961973	2.5362321421070126E-10	ENSMUSG00000058831, ENSMUSG00000056494, ENSMUSG00000050272, ENSMUSG00000044708, ENSMUSG00000000617, ENSMUSG00000020865, ENSMUSG00000038026, ENSMUSG00000030307, ENSMUSG00000028072, ENSMUSG00000058715, ENSMUSG00000031344, ENSMUSG00000056025, ENSMUSG00000028051, ENSMUSG00000006445, ENSMUSG00000025468, ENSMUSG00000032839, ENSMUSG00000063354, ENSMUSG00000038257, ENSMUSG00000051497, ENSMUSG00000058571, ENSMUSG00000023032, ENSMUSG00000040569, ENSMUSG00000000792, ENSMUSG00000024401, ENSMUSG00000041771, ENSMUSG00000020963, ENSMUSG00000066197, ENSMUSG00000030247, ENSMUSG00000012428, ENSMUSG00000003153, ENSMUSG00000039728, ENSMUSG00000033981, ENSMUSG00000055471, ENSMUSG00000027220, ENSMUSG00000049112, ENSMUSG00000005338, ENSMUSG00000040552, ENSMUSG00000020431, ENSMUSG00000023945, ENSMUSG00000020436, ENSMUSG00000043388, ENSMUSG00000038077, ENSMUSG00000030236, ENSMUSG00000030237, ENSMUSG00000032259, ENSMUSG00000069072, ENSMUSG00000028262, ENSMUSG00000031394, ENSMUSG00000019828, ENSMUSG00000023013, ENSMUSG00000045318, ENSMUSG00000021478, ENSMUSG00000027858, ENSMUSG00000037771, ENSMUSG00000037892, ENSMUSG00000052819, ENSMUSG00000001901, ENSMUSG00000067586, ENSMUSG00000020704, ENSMUSG00000030108, ENSMUSG00000030109, ENSMUSG00000029862, ENSMUSG00000028012, ENSMUSG00000026114, ENSMUSG00000063796, ENSMUSG00000040896, ENSMUSG00000068323, ENSMUSG00000021624, ENSMUSG00000011034, ENSMUSG00000052026, ENSMUSG00000005089, ENSMUSG00000035459, ENSMUSG00000058897, ENSMUSG00000036949, ENSMUSG00000049265, ENSMUSG00000056073, ENSMUSG00000043999, ENSMUSG00000022146, ENSMUSG00000048337, ENSMUSG00000048216, ENSMUSG00000041698, ENSMUSG00000021730, ENSMUSG00000026904, ENSMUSG00000022425, ENSMUSG00000045534, ENSMUSG00000017740, ENSMUSG00000021733, ENSMUSG00000025938, ENSMUSG00000068696, ENSMUSG00000037996, ENSMUSG00000030310, ENSMUSG00000054580, ENSMUSG00000039809, ENSMUSG00000028876, ENSMUSG00000006345, ENSMUSG00000063975, ENSMUSG00000045404, ENSMUSG00000035681, ENSMUSG00000032338	889	1126	19662	1.9445662098631988	1.1894928941824645E-7	1.189492874648189E-8	1.0652174996849452E-8
GOTERM_BP_DIRECT	GO:0042391~regulation of membrane potential	22	2.2610483042137717	1.736869362455755E-9	ENSMUSG00000028051, ENSMUSG00000032890, ENSMUSG00000056494, ENSMUSG00000044708, ENSMUSG00000024112, ENSMUSG00000056073, ENSMUSG00000026114, ENSMUSG00000061576, ENSMUSG00000027950, ENSMUSG00000040569, ENSMUSG00000027674, ENSMUSG00000064329, ENSMUSG00000021730, ENSMUSG00000045534, ENSMUSG00000022935, ENSMUSG00000063142, ENSMUSG00000037386, ENSMUSG00000001901, ENSMUSG00000020704, ENSMUSG00000035200, ENSMUSG00000032338, ENSMUSG00000032303	819	97	18082	5.007414120816183	5.53191347207882E-6	7.902755599173685E-7	7.781174743801782E-7
UP_KEYWORDS	Lipoprotein	70	7.194244604316546	1.7716670060085074E-9	ENSMUSG00000028785, ENSMUSG00000006435, ENSMUSG00000024743, ENSMUSG00000021478, ENSMUSG00000022722, ENSMUSG00000026527, ENSMUSG00000038264, ENSMUSG00000063142, ENSMUSG00000029082, ENSMUSG00000030865, ENSMUSG00000039714, ENSMUSG00000061080, ENSMUSG00000071658, ENSMUSG00000035513, ENSMUSG00000028174, ENSMUSG00000052783, ENSMUSG00000010825, ENSMUSG00000034936, ENSMUSG00000048483, ENSMUSG00000023000, ENSMUSG00000027962, ENSMUSG00000022595, ENSMUSG00000022594, ENSMUSG00000026399, ENSMUSG00000029544, ENSMUSG00000049612, ENSMUSG00000024979, ENSMUSG00000047842, ENSMUSG00000020732, ENSMUSG00000023328, ENSMUSG00000019278, ENSMUSG00000044375, ENSMUSG00000031906, ENSMUSG00000031425, ENSMUSG00000035864, ENSMUSG00000036832, ENSMUSG00000038811, ENSMUSG00000005089, ENSMUSG00000038607, ENSMUSG00000010797, ENSMUSG00000055026, ENSMUSG00000031450, ENSMUSG00000058571, ENSMUSG00000022780, ENSMUSG00000025892, ENSMUSG00000028885, ENSMUSG00000028444, ENSMUSG00000048337, ENSMUSG00000043557, ENSMUSG00000024401, ENSMUSG00000026787, ENSMUSG00000023755, ENSMUSG00000045534, ENSMUSG00000069227, ENSMUSG00000036062, ENSMUSG00000064293, ENSMUSG00000025739, ENSMUSG00000034634, ENSMUSG00000033981, ENSMUSG00000051076, ENSMUSG00000024992, ENSMUSG00000026697, ENSMUSG00000022577, ENSMUSG00000047986, ENSMUSG00000020436, ENSMUSG00000002944, ENSMUSG00000038077, ENSMUSG00000092586, ENSMUSG00000047261, ENSMUSG00000046093	932	780	22680	2.1838890723010898	6.183116046942772E-7	2.8105081140771322E-8	2.351485298884019E-8
GOTERM_CC_DIRECT	GO:0043204~perikaryon	27	2.774922918807811	3.322620467130507E-9	ENSMUSG00000004110, ENSMUSG00000074483, ENSMUSG00000074486, ENSMUSG00000056073, ENSMUSG00000026587, ENSMUSG00000028785, ENSMUSG00000006435, ENSMUSG00000026204, ENSMUSG00000017740, ENSMUSG00000027419, ENSMUSG00000074489, ENSMUSG00000050556, ENSMUSG00000033981, ENSMUSG00000057897, ENSMUSG00000048482, ENSMUSG00000031142, ENSMUSG00000024112, ENSMUSG00000026114, ENSMUSG00000000223, ENSMUSG00000020396, ENSMUSG00000022212, ENSMUSG00000003476, ENSMUSG00000042671, ENSMUSG00000023945, ENSMUSG00000035681, ENSMUSG00000038257, ENSMUSG00000032259	889	150	19662	3.9810573678290213	1.558307808569026E-6	1.298590832570173E-7	1.1629171634956774E-7
UP_KEYWORDS	Ligand-gated ion channel	18	1.8499486125385407	4.680682731378838E-9	ENSMUSG00000057378, ENSMUSG00000029211, ENSMUSG00000028051, ENSMUSG00000033981, ENSMUSG00000056494, ENSMUSG00000030592, ENSMUSG00000056073, ENSMUSG00000026114, ENSMUSG00000025892, ENSMUSG00000027950, ENSMUSG00000021730, ENSMUSG00000021313, ENSMUSG00000022935, ENSMUSG00000038257, ENSMUSG00000035200, ENSMUSG00000032338, ENSMUSG00000032303, ENSMUSG00000030102	932	73	22680	6.000352754424129	1.6335569424930085E-6	7.10242727500528E-8	5.9424319894026986E-8
