"","Gene_name","NB.D3_logFC","NB.D3_logCPM","NB.D3_LR","NB.D3_PValue","NB.D3_FDR"
"ENSMUSG00000006445","Gm24883",1.13131303747535,7.18561509803914,18.3353602876151,1.85236898973746e-05,0.00324963634336883
"ENSMUSG00000035557","Gm45512",2.26417201232911,6.95100616003645,23.4178658567508,1.30362184799222e-06,0.000409245778034609
"ENSMUSG00000006651","Gm23692",-1.27125463060292,6.36040159561988,37.1436332425857,1.09740463372375e-09,9.35093262659658e-07
"ENSMUSG00000036790","Cul9",-1.00837345644135,2.19227698290747,14.3000952394358,0.000155856992952836,0.0149139306518612
"ENSMUSG00000036800","1700029J07Rik",-1.79647883549972,0.573696419588388,17.8229477609819,2.42441595440982e-05,0.00392675192179511
"ENSMUSG00000006800","Gm22495",-1.64555210480087,4.25445337927232,54.6325128834213,1.45311594949743e-13,2.36382334548245e-10
"ENSMUSG00000007021","Csprs",-1.00433058986895,1.16979839039124,11.1883273223051,0.000823135150278249,0.0414906489551521
"ENSMUSG00000000617","Gm23273",-1.36387293386281,2.68660475198859,18.6442833997748,1.5751886508261e-05,0.0029669921808297
"ENSMUSG00000037771","Tor1aip1",-1.27840059843791,1.05944598239435,18.6458453851741,1.57389867725043e-05,0.0029669921808297
"ENSMUSG00000037872","Ankrd63",-1.20512742221163,1.82909869390492,14.214617679755,0.000163098604681746,0.0154417271543659
"ENSMUSG00000038026","Gm12500",-1.20625031805843,2.08377856117291,15.9041575052764,6.6632188242164e-05,0.00805619173246813
"ENSMUSG00000038224","Gm28306",-1.05127816633542,0.851246468280685,14.5932561870423,0.000133391053962071,0.0134095478629062
"ENSMUSG00000039059","Gm9176",-1.44472251494046,-0.0751598823833852,12.6776385157135,0.000370054643538516,0.0254682991979931
"ENSMUSG00000039257","Gm42764",-1.1582106930645,1.55901077414938,16.0877475654834,6.04740343724525e-05,0.00756991625929218
"ENSMUSG00000040364","Gm16006",1.53910191845321,-0.222117078912159,12.8892730336339,0.00033047076919779,0.0230993904063487
"ENSMUSG00000040489","Gm36961",-1.45658107817881,0.946224441822124,24.0914390345311,9.18678123715705e-07,0.000310166534825827
"ENSMUSG00000040552","Pdgfc",-1.40366141376938,0.89597535543679,18.3730057614466,1.81612781490534e-05,0.00321760308117981
"ENSMUSG00000040867","Lrriq3",-1.46180323622776,2.17767305536368,29.3603325298695,6.00952382306298e-08,2.8298531392076e-05
"ENSMUSG00000041523","Gm5759",1.28622428477065,1.10436756148997,13.9174997071041,0.000191011767819994,0.0167138316475084
"ENSMUSG00000041592","Gm6060",-1.40114755767302,3.79226246244838,34.1678170800861,5.05582087802519e-09,3.35069847375491e-06
"ENSMUSG00000041607","Gm34158",1.56136902257689,7.81083331925678,11.8773531324392,0.000568206344078564,0.0325880907722495
"ENSMUSG00000042258","Gm48603",-1.17216261571629,1.55923374149757,11.6760500651209,0.000633097986040725,0.035513026213833
"ENSMUSG00000043336","Gm4486",1.15328922993502,4.8084410580328,17.8140017125532,2.43584141790129e-05,0.00392675192179511
"ENSMUSG00000043388","4930470B04Rik",-1.31089739664596,2.10902803241614,19.5343054387854,9.88091803345481e-06,0.00218282897889679
"ENSMUSG00000043843","Gm19572",-1.02321409493951,2.10732329715642,12.1583534504589,0.0004886849933786,0.0303629488594329
"ENSMUSG00000043850","Dmrtc1a",-1.58967816076802,-0.199978374462243,14.8425874111485,0.000116866464543401,0.0122292895704071
"ENSMUSG00000045246","Gm3776",-1.17810736932085,2.22781810529797,25.4516574671267,4.53607775201077e-07,0.000165650153662206
"ENSMUSG00000010825","Rprl3",1.52847506955828,0.859836361197734,21.527566237856,3.48778861593137e-06,0.000975163898335562
"ENSMUSG00000045532","Gm14848",-1.14636610721317,2.09392048280654,19.4933579425641,1.009500974309e-05,0.00220292810174211
"ENSMUSG00000045534","Gm9050",-1.2772336579547,0.859133744539852,15.7301920764539,7.30488411718671e-05,0.00865652956244629
"ENSMUSG00000045994","Gm40319",-1.28336118437447,2.10418492079261,17.8759956586708,2.35776347608801e-05,0.00387062565514851
"ENSMUSG00000046056","A930028N01Rik",1.08805128844716,2.83417195675178,12.3607005961757,0.000438466122291821,0.0283245949180139
"ENSMUSG00000047040","Gm18234",1.07864281075839,3.09834057001891,11.3030453680171,0.000773800665840994,0.0403684813835532
"ENSMUSG00000012428","Gm25648",1.09042361096578,2.2489879554147,16.1211253417501,5.94175417219977e-05,0.00754054958562714
