"","Gene_name","NB.H6_logFC","NB.H6_logCPM","NB.H6_LR","NB.H6_PValue","NB.H6_FDR"
"ENSMUSG00000006435","Gm27549",-1.1328617966846,2.59850023013316,18.1367444663892,2.0559558082429e-05,0.0011155714704427
"ENSMUSG00000035456","Gm47870",-1.11290004662715,1.62122906626314,8.47450854878868,0.00360157671414306,0.0409996072804112
"ENSMUSG00000035513","Gm42803",-1.11585047271489,4.12046854657734,21.9561185779276,2.78956127949662e-06,0.000256625477504149
"ENSMUSG00000035557","Gm45512",1.5608865369128,7.10661776847689,15.9407835263089,6.53552175181497e-05,0.00259175625181932
"ENSMUSG00000035681","Olfr1217",-1.10456102328708,1.33283893593573,9.92383599978809,0.00163151994106442,0.0242360949933692
"ENSMUSG00000035852","1700052K11Rik",1.16375562452213,3.6273973226524,11.2354331347094,0.000802503757358928,0.0146610641074757
"ENSMUSG00000035864","Mansc4",-1.12318393873834,6.37578872534544,20.6741592130663,5.44458411525124e-06,0.000423485827985829
"ENSMUSG00000035964","Unc93a",-1.11855429030124,2.97604440310747,12.2996265304552,0.000453048939264131,0.0100693594490351
"ENSMUSG00000036062","Gm28342",-1.16685510033872,2.27051061306519,21.2637113551925,4.00237115027081e-06,0.000340539776320929
"ENSMUSG00000006542","Gm25540",-1.60616202646119,-0.364109262732782,15.2977464908203,9.18259904693665e-05,0.00331831112939019
"ENSMUSG00000036295","Gm28113",-1.22120587153164,1.28389657736715,11.778027150374,0.000599339691451385,0.0120173448734485
"ENSMUSG00000036395","Gm14995",-1.27189744864217,4.36936623625722,23.7440681723577,1.10033978760809e-06,0.000115938709132683
"ENSMUSG00000036469","Gm49046",-1.03073506054568,2.62339383680088,10.027483028753,0.00154221633817146,0.023252567967289
"ENSMUSG00000036510","Gm10512",-1.67181587370815,-0.188242360482019,11.2910309678384,0.000778824207129846,0.0143005381011289
"ENSMUSG00000036523","Phf11c",-1.06011181233213,2.97823236700677,13.9459290366265,0.000188144651568601,0.00558725049529804
"ENSMUSG00000036800","1700029J07Rik",-2.46144689481806,1.15159999922204,27.2569064595341,1.78137684591948e-07,2.88249040880346e-05
"ENSMUSG00000036902","Polr2f",-1.20687946934291,0.882260284443677,15.734750171486,7.28730357037484e-05,0.00280995324693411
"ENSMUSG00000036907","Gm6726",-1.42971960318507,1.15651314081998,9.82437282893225,0.00172214413850164,0.0251291612093922
"ENSMUSG00000036913","Gm37201",-1.17686418211772,1.36881440419446,10.2022987280119,0.00140265700633432,0.0217453831700571
"ENSMUSG00000036964","Gm49057",-1.20426823775351,1.43315838796543,17.5591784620295,2.78503203786193e-05,0.00138662460500472
"ENSMUSG00000037016","4930434J06Rik",-1.07675830934006,3.67677115951127,9.47831592761398,0.00207914738900708,0.0285937799190815
"ENSMUSG00000037139","Gm15828",-1.51868205513192,-0.47855875513166,11.567469884548,0.000671156800670199,0.0128849308247309
"ENSMUSG00000037161","Gm14681",-1.07979179069462,7.767424020171,8.76242030906656,0.00307500705022148,0.0368095245380947
"ENSMUSG00000037217","Gm49059",-1.13286855401733,2.93620445052257,11.6065333912078,0.000657205375608978,0.0127113479425416
"ENSMUSG00000037224","Gm9195",-1.75976235841656,3.35521295375349,28.9897479151741,7.27623641957657e-08,1.44909046848336e-05
"ENSMUSG00000037341","4933440M02Rik",-1.14481158435265,1.06959941104835,14.7187797149063,0.000124797054031101,0.00411474109466649
"ENSMUSG00000037386","4933436I01Rik",-1.08896345270628,4.56332502660382,18.6394057528668,1.57922372002643e-05,0.000948297546448752
"ENSMUSG00000037465","Gm15711",1.01693597919327,4.05817205626287,25.4181858646785,4.61546555715234e-07,5.84937638407495e-05
"ENSMUSG00000037466","Gm15712",1.01353182114173,2.14079093368095,9.53646389836844,0.00201429447278764,0.0279090663075921
"ENSMUSG00000037492","4930527J03Rik",-1.18386652575581,1.48301907003308,11.9772510406822,0.000538539709732682,0.0111669967499833
