NB.6H,NB.1D,NB.3D
Gm27549,Gm4791,Gm24883
Gm47870,Gm27549,Gm45512
Gm42803,Gm47870,Gm23692
Gm45512,Cstl1,Cul9
Olfr1217,Gm45512,1700029J07Rik
1700052K11Rik,Unc93a,Gm22495
Mansc4,Gm28342,Csprs
Unc93a,Vps37d,Gm23273
Gm28342,Gm6169,Tor1aip1
Gm25540,Gm25612,Ankrd63
Gm28113,Cyp2c73-ps,Gm12500
Gm14995,Gm23692,Gm28306
Gm49046,Gm49054,Gm9176
Gm10512,Gm6726,Gm42764
Phf11c,Cadm2,Gm16006
1700029J07Rik,Rnf123,Gm36961
Polr2f,Gm14681,Pdgfc
Gm6726,Gm15539,Lrriq3
Gm37201,Gm49059,Gm5759
Gm49057,Gm22495,Gm6060
4930434J06Rik,Gm9195,Gm34158
Gm15828,Gm13594,Gm48603
Gm14681,Gm28023,Gm4486
Gm49059,Gm6806,4930470B04Rik
Gm9195,Olfr996,Gm19572
4933440M02Rik,Csprs,Dmrtc1a
4933436I01Rik,Gm23273,Gm3776
Gm15711,Gm14701,Rprl3
Gm15712,Olfr1000,Gm14848
4930527J03Rik,Gm15326,Gm9050
9430034N14Rik,Tor1aip1,Gm40319
Gm28042,Ankrd63,A930028N01Rik
Gm23273,Gm35106,Gm18234
Gm49815,Gm19024,Gm25648
Olfr958,Edc3,Gm8303
Gm13414,Gm7559,Gm24903
Tor1aip1,Gm28306,Gm27179
Ankrd63,Gm20045,Iqschfp
Gm35106,B230398E01Rik,Gm4319
Veph1,Gm22321,Eif3g
Gm12961,Mc2r,Gm47563
Gm12500,Gm6032,Kif21b
Gm49831,Snord118,Gm27216
Gm7972,Rpl36,Gm28552
Zyg11a,Esp8,Gm17494
Mst1,2310015A16Rik,Gm42755
B230398E01Rik,Gm44387,Gm14169
Gm22321,Gm43320,Nme6
Diaph3,P4ha1,Mir7228
Cyp21a1,Gm37235,Dnase2b
Gm9198,Gm12531,Cspg4
Gm36279,Spef2,Gm6351
Mir187,Ifnlr1,5430405H02Rik
2310015A16Rik,Gm45837,Gpsm2
Gm9176,Gm13203,Gm38027
Gm44387,Gm16006,Olfr531
Ankrd55,Fbf1,Zfp641
Gm42767,Gm36961,Olfr540-ps1
Gm14130,Gm49477,Ctsh
Xkrx,Gm16000,Gm49071
Lonp1,Gm44610,Gm14845
Gm22200,Lrriq3,Gm42824
Nefl,Vit,Asb11
Gm22191,Gm8858,Gm49489
Spef2,Gm16412,Gm15225
Ifnlr1,Parp4,Gm23796
Npepl1,Gm19291,Evc2
Lrp2bp,Gm44268,Sorbs2
Gm16568,Cby2,Gapt
4930458D05Rik,Efcab8,Cep164
Gm43210,Gm4775,Ly6e
Pla2g12b,4930470B04Rik,Gm19585
Gm44848,Mageb2,Gm22642
Rps6,Gm43524,Traj46
Ccdc22,Numb,Rpl17-ps8
Clu,Klhl31,Gm45821
Gm36961,Gm19572,Klra4
Phxr2,Dmrtc1a,Gm31182
Gm22069,Drd3,Gm27008
Fundc2,Gm6491,Ubn1
Hoxd10,Armh1,Gm36831
